Date,New York State Average ($/gal)
03/04/2024,3.32
02/26/2024,3.31
02/19/2024,3.30
02/12/2024,3.28
02/05/2024,3.28
01/29/2024,3.26
01/22/2024,3.26
01/15/2024,3.30
01/08/2024,3.34
01/01/2024,3.37
12/25/2023,3.40
12/18/2023,3.44
12/11/2023,3.50
12/04/2023,3.55
11/27/2023,3.59
11/20/2023,3.63
11/13/2023,3.68
11/06/2023,3.72
10/30/2023,3.76
10/23/2023,3.79
10/16/2023,3.83
10/09/2023,3.88
10/02/2023,3.90
09/25/2023,3.92
09/18/2023,3.91
09/11/2023,3.89
09/04/2023,3.90
08/28/2023,3.91
08/21/2023,3.92
08/14/2023,3.91
08/07/2023,3.88
07/31/2023,3.78
07/24/2023,3.69
07/17/2023,3.67
07/10/2023,3.68
07/03/2023,3.69
06/26/2023,3.70
06/19/2023,3.69
06/12/2023,3.70
06/05/2023,3.70
05/29/2023,3.69
05/22/2023,3.66
05/15/2023,3.67
05/08/2023,3.70
05/01/2023,3.71
04/24/2023,3.67
04/17/2023,3.59
04/10/2023,3.52
04/03/2023,3.45
03/27/2023,3.43
03/20/2023,3.45
03/13/2023,3.46
03/06/2023,3.44
02/27/2023,3.47
02/20/2023,3.51
02/13/2023,3.54
02/06/2023,3.57
01/30/2023,3.56
01/23/2023,3.48
01/16/2023,3.44
01/09/2023,3.45
01/02/2023,3.41
12/26/2022,3.45
12/19/2022,3.53
12/12/2022,3.64
12/05/2022,3.74
11/28/2022,3.81
11/21/2022,3.88
11/14/2022,3.90
11/07/2022,3.85
10/31/2022,3.74
10/24/2022,3.68
10/17/2022,3.66
10/10/2022,3.60
10/03/2022,3.63
09/26/2022,3.72
09/19/2022,3.83
09/12/2022,3.95
09/05/2022,4.08
08/29/2022,4.19
08/22/2022,4.29
08/15/2022,4.37
08/08/2022,4.47
08/01/2022,4.54
07/25/2022,4.63
07/18/2022,4.74
07/11/2022,4.84
07/04/2022,4.93
06/27/2022,4.98
06/20/2022,5.03
06/13/2022,5.01
06/06/2022,4.88
05/30/2022,4.93
05/23/2022,4.89
05/16/2022,4.67
05/09/2022,4.44
05/02/2022,4.29
04/25/2022,4.22
04/18/2022,4.20
04/11/2022,4.27
04/04/2022,4.32
03/28/2022,4.35
03/21/2022,4.40
03/14/2022,4.44
03/07/2022,4.02
02/28/2022,3.78
02/21/2022,3.73
02/14/2022,3.65
02/07/2022,3.57
01/31/2022,3.52
01/24/2022,3.49
01/17/2022,3.48
01/10/2022,3.49
01/03/2022,3.49
12/27/2021,3.50
12/20/2021,3.52
12/13/2021,3.53
12/06/2021,3.55
11/29/2021,3.56
11/22/2021,3.56
11/15/2021,3.56
11/08/2021,3.55
11/01/2021,3.54
10/25/2021,3.51
10/18/2021,3.39
10/11/2021,3.32
10/04/2021,3.28
09/27/2021,3.28
09/20/2021,3.28
09/13/2021,3.28
09/06/2021,3.26
08/30/2021,3.22
08/23/2021,3.22
08/16/2021,3.22
08/09/2021,3.22
08/02/2021,3.21
07/26/2021,3.20
07/19/2021,3.20
07/12/2021,3.19
07/05/2021,3.17
06/28/2021,3.14
06/21/2021,3.13
06/14/2021,3.10
06/07/2021,3.08
05/31/2021,3.08
05/24/2021,3.07
05/17/2021,3.04
05/10/2021,2.98
05/03/2021,2.93
04/26/2021,2.92
04/19/2021,2.89
04/12/2021,2.90
04/05/2021,2.90
03/29/2021,2.91
03/22/2021,2.91
03/15/2021,2.88
03/08/2021,2.81
03/01/2021,2.75
02/22/2021,2.66
02/15/2021,2.59
02/08/2021,2.54
02/01/2021,2.51
01/25/2021,2.49
01/18/2021,2.44
01/11/2021,2.36
01/04/2021,2.33
12/28/2020,2.32
12/21/2020,2.28
12/14/2020,2.26
12/07/2020,2.25
11/30/2020,2.22
11/23/2020,2.22
11/16/2020,2.22
11/09/2020,2.22
11/02/2020,2.24
10/26/2020,2.25
10/19/2020,2.25
10/12/2020,2.26
10/05/2020,2.26
09/28/2020,2.27
09/21/2020,2.28
09/14/2020,2.29
09/07/2020,2.30
08/31/2020,2.28
08/24/2020,2.25
08/17/2020,2.25
08/10/2020,2.26
08/03/2020,2.26
07/27/2020,2.27
07/20/2020,2.26
07/13/2020,2.25
07/06/2020,2.25
06/29/2020,2.24
06/22/2020,2.22
06/15/2020,2.22
06/08/2020,2.19
06/01/2020,2.18
05/25/2020,2.17
05/18/2020,2.16
05/11/2020,2.16
05/04/2020,2.17
04/27/2020,2.20
04/20/2020,2.24
04/13/2020,2.27
04/06/2020,2.31
03/30/2020,2.36
03/23/2020,2.44
03/16/2020,2.52
03/09/2020,2.58
03/02/2020,2.61
02/24/2020,2.61
02/17/2020,2.62
02/10/2020,2.64
02/03/2020,2.67
01/27/2020,2.70
01/20/2020,2.72
01/13/2020,2.73
01/06/2020,2.72
12/30/2019,2.69
12/23/2019,2.68
12/16/2019,2.68
12/09/2019,2.68
12/02/2019,2.69
11/25/2019,2.69
11/18/2019,2.69
11/11/2019,2.70
11/04/2019,2.70
10/28/2019,2.69
10/21/2019,2.70
10/14/2019,2.71
10/07/2019,2.73
09/30/2019,2.74
09/23/2019,2.75
09/16/2019,2.73
09/09/2019,2.75
09/02/2019,2.78
08/26/2019,2.80
08/19/2019,2.83
08/12/2019,2.85
08/05/2019,2.87
07/29/2019,2.88
07/22/2019,2.89
07/15/2019,2.88
07/08/2019,2.88
07/01/2019,2.86
06/24/2019,2.85
06/17/2019,2.88
06/10/2019,2.91
06/03/2019,2.94
05/27/2019,2.95
05/20/2019,2.96
05/13/2019,2.97
05/06/2019,2.97
04/29/2019,2.94
04/22/2019,2.87
04/15/2019,2.80
04/08/2019,2.75
04/01/2019,2.72
03/25/2019,2.69
03/18/2019,2.63
03/11/2019,2.57
03/04/2019,2.53
02/25/2019,2.51
02/18/2019,2.47
02/11/2019,2.48
02/04/2019,2.50
01/28/2019,2.52
01/21/2019,2.54
01/14/2019,2.56
01/07/2019,2.60